usage_date,billing_period,payer_account_id,linked_account_id,account_name,business_unit,service_code,service_name,usage_type,usage_unit,region,availability_zone,resource_id,pricing_model,usage_quantity,unit_rate,unblended_cost,amortized_cost,currency_code,tag_environment,tag_team,tag_project
2024-08-01,2024-08,100000000001,200000000001,acct-eng-prod,Engineering,AmazonElastiCache,ElastiCache - In-Memory Cache,NodeUsage:cache.r6g.large,Hrs,us-west-2,,cache-519fc540,On-Demand,33.5246,0.22334156,7.487436,7.487436,USD,Production,Platform,Horizon
2024-08-01,2024-08,100000000001,200000000001,acct-eng-prod,Engineering,AmazonCloudFront,CloudFront - CDN,DataTransfer-Out-Bytes,GB,us-west-2,,dist-695dac45,On-Demand,378.0699,0.11866642,44.864201,44.864201,USD,Production,Platform,Horizon
2024-08-01,2024-08,100000000001,200000000001,acct-eng-prod,Engineering,AmazonCloudFront,CloudFront - CDN,Requests-HTTPS,Requests,us-west-2,,dist-f5e094ba,On-Demand,483287.9846,8.11e-06,3.92039,3.92039,USD,Production,Platform,Horizon
2024-08-01,2024-08,100000000001,200000000001,acct-eng-prod,Engineering,AmazonDynamoDB,DynamoDB - NoSQL Database,ReadCapacityUnit-Hrs,RCU-Hrs,ap-southeast-2,,table-b778048e,On-Demand,305.1531,0.00013,0.03967,0.03967,USD,Production,Platform,Horizon
2024-08-01,2024-08,100000000001,200000000001,acct-eng-prod,Engineering,AmazonDynamoDB,DynamoDB - NoSQL Database,WriteCapacityUnit-Hrs,WCU-Hrs,us-west-2,,table-50ba1679,On-Demand,73.933,0.00065,0.048056,0.048056,USD,Production,Platform,Horizon
2024-08-01,2024-08,100000000001,200000000001,acct-eng-prod,Engineering,AmazonRDS,RDS - Managed Database,InstanceUsage:db.r5.large,Hrs,us-west-2,,db-50ae78ce,On-Demand,24.9914,0.28432289,7.105627,7.105627,USD,Production,Platform,Horizon
2024-08-01,2024-08,100000000001,200000000001,acct-eng-prod,Engineering,AmazonRDS,RDS - Managed Database,InstanceUsage:db.t3.medium,Hrs,us-west-2,,db-7653903a,Reserved Instance,36.6157,0.09489369,3.474599,3.127139,USD,Production,Platform,Horizon
2024-08-01,2024-08,100000000001,200000000002,acct-eng-staging,Engineering,AmazonDynamoDB,DynamoDB - NoSQL Database,ReadCapacityUnit-Hrs,RCU-Hrs,ap-southeast-1,,table-0b1f8ef8,On-Demand,82.1402,0.00013,0.010678,0.010678,USD,Staging,Payments,Nimbus
2024-08-01,2024-08,100000000001,200000000002,acct-eng-staging,Engineering,AmazonDynamoDB,DynamoDB - NoSQL Database,WriteCapacityUnit-Hrs,WCU-Hrs,ap-southeast-1,,table-a0ecdd58,On-Demand,162.3094,0.00065,0.105501,0.105501,USD,Staging,Payments,Nimbus
2024-08-01,2024-08,100000000001,200000000002,acct-eng-staging,Engineering,AmazonElastiCache,ElastiCache - In-Memory Cache,NodeUsage:cache.r6g.large,Hrs,us-east-1,,cache-5b980370,On-Demand,44.0082,0.18790933,8.269552,8.269552,USD,Staging,Payments,Nimbus
2024-08-01,2024-08,100000000001,200000000002,acct-eng-staging,Engineering,AmazonVPC,VPC - Networking,NatGateway-Hours,Hrs,ap-southeast-1,,vpc-d2b9b9b0,On-Demand,43.4231,0.045,1.954039,1.954039,USD,Staging,Payments,Nimbus
2024-08-01,2024-08,100000000001,200000000002,acct-eng-staging,Engineering,AmazonVPC,VPC - Networking,DataTransfer-Regional-Bytes,GB,ap-southeast-1,,vpc-a8f599f8,On-Demand,819.5235,0.01966232,16.113733,16.113733,USD,Staging,Payments,Nimbus
2024-08-01,2024-08,100000000001,200000000002,acct-eng-staging,Engineering,AWSDataTransfer,Data Transfer,DataTransfer-Out-Internet,GB,ap-southeast-1,,xfer-56a27cac,On-Demand,28.1903,0.08470956,2.387988,2.387988,USD,Staging,Payments,Nimbus
2024-08-01,2024-08,100000000001,200000000003,acct-eng-dev,Engineering,AWSDataTransfer,Data Transfer,DataTransfer-Out-Internet,GB,us-west-2,,xfer-e6f5f7d4,On-Demand,640.4837,0.05266235,33.72938,33.72938,USD,Staging,Platform,Falcon
2024-08-01,2024-08,100000000001,200000000003,acct-eng-dev,Engineering,AmazonDynamoDB,DynamoDB - NoSQL Database,ReadCapacityUnit-Hrs,RCU-Hrs,sa-east-1,,table-c8630f26,On-Demand,107.8288,0.00013,0.014018,0.014018,USD,Staging,Platform,Falcon
2024-08-01,2024-08,100000000001,200000000003,acct-eng-dev,Engineering,AmazonDynamoDB,DynamoDB - NoSQL Database,WriteCapacityUnit-Hrs,WCU-Hrs,sa-east-1,,table-758a9bb1,On-Demand,134.9015,0.00065,0.087686,0.087686,USD,Staging,Platform,Falcon
2024-08-01,2024-08,100000000001,200000000003,acct-eng-dev,Engineering,AmazonVPC,VPC - Networking,NatGateway-Hours,Hrs,sa-east-1,,vpc-a8e46073,On-Demand,7.6086,0.045,0.342387,0.342387,USD,Staging,Platform,Falcon
2024-08-01,2024-08,100000000001,200000000003,acct-eng-dev,Engineering,AmazonVPC,VPC - Networking,DataTransfer-Regional-Bytes,GB,sa-east-1,,vpc-4e513313,On-Demand,713.5606,0.01416889,10.110364,10.110364,USD,Staging,Platform,Falcon
2024-08-01,2024-08,100000000001,200000000003,acct-eng-dev,Engineering,AWSLambda,Lambda - Serverless Compute,Lambda-GB-Second,GB-Second,sa-east-1,,fn-64bd40ad,On-Demand,51331.1069,1.66e-05,0.852096,0.852096,USD,Staging,Platform,Falcon
2024-08-01,2024-08,100000000001,200000000003,acct-eng-dev,Engineering,AWSLambda,Lambda - Serverless Compute,Request,Requests,sa-east-1,,fn-8573e5e3,On-Demand,187260.9079,2e-07,0.037452,0.037452,USD,Staging,Platform,Falcon
2024-08-01,2024-08,100000000001,200000000004,acct-data-prod,DataPlatform,AmazonRDS,RDS - Managed Database,InstanceUsage:db.r5.large,Hrs,sa-east-1,,db-ec3a4ca2,On-Demand,44.712,0.28929326,12.93488,12.93488,USD,Production,CoreAPI,Phoenix
2024-08-01,2024-08,100000000001,200000000004,acct-data-prod,DataPlatform,AmazonRDS,RDS - Managed Database,InstanceUsage:db.t3.medium,Hrs,sa-east-1,,db-20a145a8,On-Demand,22.8967,0.07263127,1.663016,1.663016,USD,Production,CoreAPI,Phoenix
2024-08-01,2024-08,100000000001,200000000004,acct-data-prod,DataPlatform,AmazonRDS,RDS - Managed Database,RDS:StorageUsage,GB-Mo,sa-east-1,,db-79de34ca,On-Demand,592.7558,0.1374451,81.471379,81.471379,USD,Production,CoreAPI,Phoenix
2024-08-01,2024-08,100000000001,200000000004,acct-data-prod,DataPlatform,AmazonDynamoDB,DynamoDB - NoSQL Database,ReadCapacityUnit-Hrs,RCU-Hrs,ca-central-1,,table-650c233e,On-Demand,205.843,0.00013,0.02676,0.02676,USD,Production,CoreAPI,Phoenix
2024-08-01,2024-08,100000000001,200000000004,acct-data-prod,DataPlatform,AmazonDynamoDB,DynamoDB - NoSQL Database,WriteCapacityUnit-Hrs,WCU-Hrs,sa-east-1,,table-26d406aa,On-Demand,305.739,0.00065,0.19873,0.19873,USD,Production,CoreAPI,Phoenix
2024-08-01,2024-08,100000000001,200000000004,acct-data-prod,DataPlatform,AmazonS3,S3 - Storage,TimedStorage-ByteHrs,GB-Mo,sa-east-1,,bucket-5de3f67a,On-Demand,1284.6509,0.02220414,28.524569,28.524569,USD,Production,CoreAPI,Phoenix
2024-08-01,2024-08,100000000001,200000000004,acct-data-prod,DataPlatform,AmazonS3,S3 - Storage,Requests-Tier1,Requests,sa-east-1,,bucket-26a81db9,On-Demand,9047.5373,4.56e-06,0.041232,0.041232,USD,Production,CoreAPI,Phoenix
2024-08-01,2024-08,100000000001,200000000004,acct-data-prod,DataPlatform,AmazonS3,S3 - Storage,Requests-Tier2,Requests,sa-east-1,,bucket-b345132f,On-Demand,248138.811,4.3e-07,0.106958,0.106958,USD,Production,CoreAPI,Phoenix
2024-08-01,2024-08,100000000001,200000000004,acct-data-prod,DataPlatform,AWSDataTransfer,Data Transfer,DataTransfer-Out-Internet,GB,sa-east-1,,xfer-32323be1,On-Demand,490.9338,0.05366884,26.347848,26.347848,USD,Production,CoreAPI,Phoenix
2024-08-01,2024-08,100000000001,200000000004,acct-data-prod,DataPlatform,AmazonEC2,EC2 - Compute,BoxUsage:m5.large,Hrs,sa-east-1,sa-east-1c,i-3c8c268d,On-Demand,43.9007,0.11762378,5.163766,5.163766,USD,Production,CoreAPI,Phoenix
2024-08-01,2024-08,100000000001,200000000004,acct-data-prod,DataPlatform,AmazonEC2,EC2 - Compute,BoxUsage:m5.xlarge,Hrs,sa-east-1,sa-east-1b,i-a632c026,Reserved Instance,8.0349,0.17741028,1.425474,1.282927,USD,Production,CoreAPI,Phoenix
2024-08-01,2024-08,100000000001,200000000004,acct-data-prod,DataPlatform,AmazonEC2,EC2 - Compute,BoxUsage:t3.medium,Hrs,sa-east-1,sa-east-1b,i-e193ed10,On-Demand,22.1589,0.04574864,1.01374,1.01374,USD,Production,CoreAPI,Phoenix
2024-08-01,2024-08,100000000001,200000000004,acct-data-prod,DataPlatform,AmazonEC2,EC2 - Compute,BoxUsage:c5.2xlarge,Hrs,ap-southeast-2,ap-southeast-2c,i-76aa8536,On-Demand,31.1006,0.359297,11.174352,11.174352,USD,Production,CoreAPI,Phoenix
2024-08-01,2024-08,100000000001,200000000005,acct-data-dev,DataPlatform,AmazonRoute53,Route 53 - DNS,HostedZone,Hrs,ca-central-1,,zone-31565de2,On-Demand,16.785,0.0007,0.011749,0.011749,USD,Sandbox,Infra,Vega
2024-08-01,2024-08,100000000001,200000000005,acct-data-dev,DataPlatform,AmazonRoute53,Route 53 - DNS,DNS-Queries,Requests,ap-southeast-2,,zone-3d0b6cef,On-Demand,312000.0084,4.4e-07,0.137845,0.137845,USD,Sandbox,Infra,Vega
2024-08-01,2024-08,100000000001,200000000005,acct-data-dev,DataPlatform,AWSLambda,Lambda - Serverless Compute,Lambda-GB-Second,GB-Second,ap-southeast-2,,fn-17af558d,On-Demand,46431.7899,1.66e-05,0.770768,0.770768,USD,Sandbox,Infra,Vega
2024-08-01,2024-08,100000000001,200000000005,acct-data-dev,DataPlatform,AWSLambda,Lambda - Serverless Compute,Request,Requests,ap-southeast-2,,fn-47fc10bf,On-Demand,240173.251,2e-07,0.048035,0.048035,USD,Sandbox,Infra,Vega
2024-08-01,2024-08,100000000001,200000000005,acct-data-dev,DataPlatform,AmazonDynamoDB,DynamoDB - NoSQL Database,ReadCapacityUnit-Hrs,RCU-Hrs,ap-southeast-2,,table-11b47971,On-Demand,355.5914,0.00013,0.046227,0.046227,USD,Sandbox,Infra,Vega
2024-08-01,2024-08,100000000001,200000000005,acct-data-dev,DataPlatform,AmazonDynamoDB,DynamoDB - NoSQL Database,WriteCapacityUnit-Hrs,WCU-Hrs,ap-southeast-1,,table-5ac21cb0,On-Demand,232.8326,0.00065,0.151341,0.151341,USD,Sandbox,Infra,Vega
2024-08-01,2024-08,100000000001,200000000005,acct-data-dev,DataPlatform,AmazonCloudFront,CloudFront - CDN,DataTransfer-Out-Bytes,GB,ap-southeast-2,,dist-1af8b9ab,On-Demand,18.3481,0.11165014,2.048568,2.048568,USD,Sandbox,Infra,Vega
2024-08-01,2024-08,100000000001,200000000005,acct-data-dev,DataPlatform,AmazonS3,S3 - Storage,TimedStorage-ByteHrs,GB-Mo,ap-southeast-2,,bucket-fca133fc,On-Demand,297.2898,0.02466877,7.333773,7.333773,USD,Sandbox,Infra,Vega
2024-08-01,2024-08,100000000001,200000000005,acct-data-dev,DataPlatform,AmazonS3,S3 - Storage,Requests-Tier1,Requests,ap-southeast-2,,bucket-38643e6c,On-Demand,1010145.0597,5.06e-06,5.10675,5.10675,USD,Sandbox,Infra,Vega
2024-08-01,2024-08,100000000001,200000000005,acct-data-dev,DataPlatform,AmazonS3,S3 - Storage,Requests-Tier2,Requests,ap-southeast-2,,bucket-51bf7b5f,On-Demand,139368.7288,5.6e-07,0.078071,0.078071,USD,Sandbox,Infra,Vega
2024-08-01,2024-08,100000000001,200000000005,acct-data-dev,DataPlatform,AWSDataTransfer,Data Transfer,DataTransfer-Out-Internet,GB,ap-southeast-2,,xfer-b43ad6c1,On-Demand,449.3057,0.08411125,37.791662,37.791662,USD,Sandbox,Infra,Vega
2024-08-01,2024-08,100000000001,200000000006,acct-mktg-prod,Marketing,AmazonEC2,EC2 - Compute,BoxUsage:m5.large,Hrs,ap-southeast-2,ap-southeast-2c,i-7d9d013a,On-Demand,16.0562,0.11994973,1.925937,1.925937,USD,Production,CoreAPI,Phoenix
2024-08-01,2024-08,100000000001,200000000006,acct-mktg-prod,Marketing,AmazonEC2,EC2 - Compute,BoxUsage:m5.xlarge,Hrs,eu-west-1,eu-west-1b,i-c157da04,On-Demand,13.7628,0.16537333,2.276,2.276,USD,Production,CoreAPI,Phoenix
2024-08-01,2024-08,100000000001,200000000006,acct-mktg-prod,Marketing,AmazonEC2,EC2 - Compute,BoxUsage:t3.medium,Hrs,ap-southeast-2,ap-southeast-2a,i-f94781dc,On-Demand,8.5007,0.0481813,0.409575,0.409575,USD,Production,CoreAPI,Phoenix
2024-08-01,2024-08,100000000001,200000000006,acct-mktg-prod,Marketing,AmazonEC2,EC2 - Compute,BoxUsage:c5.2xlarge,Hrs,ap-southeast-2,ap-southeast-2b,i-6c398ff7,On-Demand,8.6295,0.35260635,3.042817,3.042817,USD,Production,CoreAPI,Phoenix
2024-08-01,2024-08,100000000001,200000000006,acct-mktg-prod,Marketing,AmazonRDS,RDS - Managed Database,InstanceUsage:db.r5.large,Hrs,ap-southeast-2,,db-8722eb61,On-Demand,19.9792,0.2746378,5.487044,5.487044,USD,Production,CoreAPI,Phoenix
2024-08-01,2024-08,100000000001,200000000006,acct-mktg-prod,Marketing,AmazonRDS,RDS - Managed Database,InstanceUsage:db.t3.medium,Hrs,ap-southeast-2,,db-44200f0c,Reserved Instance,1.8933,0.07181585,0.135969,0.122372,USD,Production,CoreAPI,Phoenix
